
--- DASHBOARD ---
A | text: "Dashboard" | id: "" | class: "MuiButtonBase-root MuiListItem" | aria-label: "" | role: "null"
A | text: "Worker Directory" | id: "" | class: "MuiButtonBase-root MuiListItem" | aria-label: "" | role: "null"
A | text: "Supplier Registry" | id: "" | class: "MuiButtonBase-root MuiListItem" | aria-label: "" | role: "null"
A | text: "Allocation Manager" | id: "" | class: "MuiButtonBase-root MuiListItem" | aria-label: "" | role: "null"
A | text: "Attendance Board" | id: "" | class: "MuiButtonBase-root MuiListItem" | aria-label: "" | role: "null"
A | text: "Roster Matrix" | id: "" | class: "MuiButtonBase-root MuiListItem" | aria-label: "" | role: "null"
A | text: "Period Close" | id: "" | class: "MuiButtonBase-root MuiListItem" | aria-label: "" | role: "null"
A | text: "Identity & Access" | id: "" | class: "MuiButtonBase-root MuiListItem" | aria-label: "" | role: "null"
A | text: "Hierarchy Manager" | id: "" | class: "MuiButtonBase-root MuiListItem" | aria-label: "" | role: "null"
A | text: "Calendar Manager" | id: "" | class: "MuiButtonBase-root MuiListItem" | aria-label: "" | role: "null"
A | text: "Shift Configurator" | id: "" | class: "MuiButtonBase-root MuiListItem" | aria-label: "" | role: "null"
A | text: "Rate Card Manager" | id: "" | class: "MuiButtonBase-root MuiListItem" | aria-label: "" | role: "null"
BUTTON | text: "5" | id: "" | class: "MuiButtonBase-root MuiIconButt" | aria-label: "Notifications" | role: "null"
BUTTON | text: "Full Board" | id: "" | class: "MuiButtonBase-root MuiButton-r" | aria-label: "null" | role: "null"
TH | text: "Site" | id: "" | class: "MuiTableCell-root MuiTableCell" | aria-label: "null" | role: "null"
TH | text: "Project" | id: "" | class: "MuiTableCell-root MuiTableCell" | aria-label: "null" | role: "null"
TH | text: "Present" | id: "" | class: "MuiTableCell-root MuiTableCell" | aria-label: "null" | role: "null"
TH | text: "Total" | id: "" | class: "MuiTableCell-root MuiTableCell" | aria-label: "null" | role: "null"
TH | text: "Rate" | id: "" | class: "MuiTableCell-root MuiTableCell" | aria-label: "null" | role: "null"
BUTTON | text: "Manage Suppliers" | id: "" | class: "MuiButtonBase-root MuiButton-r" | aria-label: "null" | role: "null"
--- IAM ---
A | text: "Dashboard" | id: "" | class: "MuiButtonBase-root MuiListItem" | aria-label: "" | role: "null"
A | text: "Worker Directory" | id: "" | class: "MuiButtonBase-root MuiListItem" | aria-label: "" | role: "null"
A | text: "Supplier Registry" | id: "" | class: "MuiButtonBase-root MuiListItem" | aria-label: "" | role: "null"
A | text: "Allocation Manager" | id: "" | class: "MuiButtonBase-root MuiListItem" | aria-label: "" | role: "null"
A | text: "Attendance Board" | id: "" | class: "MuiButtonBase-root MuiListItem" | aria-label: "" | role: "null"
A | text: "Roster Matrix" | id: "" | class: "MuiButtonBase-root MuiListItem" | aria-label: "" | role: "null"
A | text: "Period Close" | id: "" | class: "MuiButtonBase-root MuiListItem" | aria-label: "" | role: "null"
A | text: "Identity & Access" | id: "" | class: "MuiButtonBase-root MuiListItem" | aria-label: "" | role: "null"
A | text: "Hierarchy Manager" | id: "" | class: "MuiButtonBase-root MuiListItem" | aria-label: "" | role: "null"
A | text: "Calendar Manager" | id: "" | class: "MuiButtonBase-root MuiListItem" | aria-label: "" | role: "null"
A | text: "Shift Configurator" | id: "" | class: "MuiButtonBase-root MuiListItem" | aria-label: "" | role: "null"
A | text: "Rate Card Manager" | id: "" | class: "MuiButtonBase-root MuiListItem" | aria-label: "" | role: "null"
BUTTON | text: "5" | id: "" | class: "MuiButtonBase-root MuiIconButt" | aria-label: "Notifications" | role: "null"
BUTTON | text: "1. ROLE MATRIX (RBAC)" | id: "" | class: "MuiButtonBase-root MuiTab-root" | aria-label: "null" | role: "tab"
BUTTON | text: "2. EMPLOYEE MASTER" | id: "" | class: "MuiButtonBase-root MuiTab-root" | aria-label: "null" | role: "tab"
